cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso_extraido,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,readecuadas_ley_439,recibidas_excusa_recusacion,preliminares_formalizados,cautelares_formalizados,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,pendientes_inicio,conciliacion,num_juzgados,recibidas_otros_juzgados,concluidas_rechazo_denuncia,reparacion_dano_conciliacion,remision_art_299_ley_548,merecieron_imputacion_formal,remitidas_finalizacion_competencia,procesos_rebeldia,reparacion_dano,sobreseimiento,terminacion_anticipada,merecieron_acusacion,concluidas_extincion_prescripcion,concluidas_sentencia_juicio,remitidas_otros_juzgados,concluidas_otras_formas,imputacion_directa_procedimiento_inmediato,otras_formas_finalizacion,recibidas_declinatoria_inhibitoria,ingresadas_conversion_acciones,otras_formas_conclusion,resueltas_sentencia,ingresadas_reenvio,otras_formas_ingreso,remitidas_excusa_recusacion,remitidas_otras_formas,materia_seccion,tipo_accion_penal,materia_norm,materia_homologada,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,etapa_proceso_fuente,contexto_accion_penal,gestion,revisado_manual,territorio,tipo_elemento_analitico,recurso_juzgados_publicados,recurso_tribunales_publicados,recurso_salas_publicadas,recurso_conciliadores_publicados,recurso_otros_organos_publicados,recursos_clasificacion_completa,personal_cuadro_origen,personal_pagina_pdf,personal_distrito,personal_gestion,personal_items_mujer,personal_items_varon,personal_items_acefalias,personal_items_total,personal_remun_mujer,personal_remun_varon,personal_remun_acefalias,personal_remun_total,personal_nivel_geografico,personal_metodo_seleccion
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",ORURO,8,tipo_proceso,,CONTRA LA VIOLENCIA HACIA LAS MUJERES,CONTRA LA VIOLENCIA HACIA LAS MUJERES,detalle,3,9,,1,,,699,1057,,286,357,,,,258.0,,,505.0,,,,,,,,,8.0,0.0,,,,,,,,,,,INSTRUCCIÓN PENAL,CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",ORURO,,Oruro,False,,informes_inicio_investigacion,violencia_mujeres,2023,False,ORURO,otro_detalle,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,8,tipo_proceso,,PENAL COMUN,PENAL COMUN,detalle,5,9,,8,,,2144,5039,,2243,2887,,,,2077.0,,,373.0,,,,,,,,,62.0,284.0,,,,,,,,,,,INSTRUCCIÓN PENAL,PENAL,INSTRUCCIÓN PENAL,Instrucción Penal,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,,Potosí,False,,informes_inicio_investigacion,penal_comun,2023,False,POTOSI,otro_detalle,39,2,8,3,,True,14.1.3,746,POTOSI,2023,340,212,42,594,1867677,1784310,222712,3874699,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,8,tipo_proceso,,ANTICORRUPCIÓN,ANTICORRUPCIÓN,detalle,6,9,,0,,,41,68,,22,27,,,,20.0,,,11.0,,,,,,,,,4.0,11.0,,,,,,,,,,,INSTRUCCIÓN PENAL,ANTICORRUPCIÓN,INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,,Potosí,False,,informes_inicio_investigacion,anticorrupcion,2023,False,POTOSI,otro_detalle,39,2,8,3,,True,14.1.3,746,POTOSI,2023,340,212,42,594,1867677,1784310,222712,3874699,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,8,tipo_proceso,,CONTRA LA VIOLENCIA HACIA LAS MUJERES,CONTRA LA VIOLENCIA HACIA LAS MUJERES,detalle,7,9,,6,,,3155,5112,,2268,1951,,,,716.0,,,811.0,,,,,,,,,1310.0,7.0,,,,,,,,,,,INSTRUCCIÓN PENAL,CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",POTOSI,,Potosí,False,,informes_inicio_investigacion,violencia_mujeres,2023,False,POTOSI,otro_detalle,39,2,8,3,,True,14.1.3,746,POTOSI,2023,340,212,42,594,1867677,1784310,222712,3874699,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,7,tipo_proceso,,PENAL COMUN,PENAL COMUN,detalle,9,9,,31,,,2994,3908,,893,883,,,,1911.0,,,1070.0,,,,,,,,,9.0,25.0,,,,,,,,,,,INSTRUCCIÓN PENAL,PENAL,INSTRUCCIÓN PENAL,Instrucción Penal,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,,Tarija,False,,informes_inicio_investigacion,penal_comun,2023,False,TARIJA,otro_detalle,43,1,7,4,,True,14.1.3,746,TARIJA,2023,338,169,15,522,1959583,1366970,81239,3407792,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,7,tipo_proceso,,ANTICORRUPCIÓN,ANTICORRUPCIÓN,detalle,10,9,,1,,,78,181,,126,102,,,,43.0,,,11.0,,,,,,,,,1.0,0.0,,,,,,,,,,,INSTRUCCIÓN PENAL,ANTICORRUPCIÓN,INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,,Tarija,False,,informes_inicio_investigacion,anticorrupcion,2023,False,TARIJA,otro_detalle,43,1,7,4,,True,14.1.3,746,TARIJA,2023,338,169,15,522,1959583,1366970,81239,3407792,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,7,tipo_proceso,,CONTRA LA VIOLENCIA HACIA LAS MUJERES,CONTRA LA VIOLENCIA HACIA LAS MUJERES,detalle,11,9,,1,,,1573,2623,,1595,1049,,,,549.0,,,376.0,,,,,,,,,41.0,62.0,,,,,,,,,,,INSTRUCCIÓN PENAL,CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",TARIJA,,Tarija,False,,informes_inicio_investigacion,violencia_mujeres,2023,False,TARIJA,otro_detalle,43,1,7,4,,True,14.1.3,746,TARIJA,2023,338,169,15,522,1959583,1366970,81239,3407792,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,25,tipo_proceso,,PENAL COMUN,PENAL COMUN,detalle,13,9,,304,,,15325,27616,,11115,11987,,,,9044.0,,,1830.0,,,,,,,,,853.0,4774.0,,,,,,,,,,,INSTRUCCIÓN PENAL,PENAL,INSTRUCCIÓN PENAL,Instrucción Penal,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,,Santa Cruz,False,,informes_inicio_investigacion,penal_comun,2023,False,SANTA CRUZ,otro_detalle,129,7,14,26,,True,14.1.3,746,SANTA CRUZ,2023,798,507,43,1348,4651919,3834431,168097,8654447,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,25,tipo_proceso,,ANTICORRUPCIÓN,ANTICORRUPCIÓN,detalle,14,9,,71,,,383,565,,108,111,,,,312.0,,,138.0,,,,,,,,,7.0,0.0,,,,,,,,,,,INSTRUCCIÓN PENAL,ANTICORRUPCIÓN,INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,,Santa Cruz,False,,informes_inicio_investigacion,anticorrupcion,2023,False,SANTA CRUZ,otro_detalle,129,7,14,26,,True,14.1.3,746,SANTA CRUZ,2023,798,507,43,1348,4651919,3834431,168097,8654447,distrito_judicial,fila_distrital_publicada_14.1.3
5.3.1.1,349,c79602bf88,causas,capital,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,25,tipo_proceso,,CONTRA LA VIOLENCIA HACIA LAS MUJERES,CONTRA LA VIOLENCIA HACIA LAS MUJERES,detalle,15,9,,1488,,,9170,18537,,8458,7879,,,,7115.0,,,1541.0,,,,,,,,,1214.0,209.0,,,,,,,,,,,INSTRUCCIÓN PENAL,CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",SANTA CRUZ,,Santa Cruz,False,,informes_inicio_investigacion,violencia_mujeres,2023,False,SANTA CRUZ,otro_detalle,129,7,14,26,,True,14.1.3,746,SANTA CRUZ,2023,798,507,43,1348,4651919,3834431,168097,8654447,distrito_judicial,fila_distrital_publicada_14.1.3
