fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
32,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Social Administrativa,,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f032,Sala Social Administrativa,sala_social_administrativa,sala,detalle,f029,2,True,,2023,False
33,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,"Familia, Niñez y Adolescencia",,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f033,"Sala de Familia, Niñez y Adolescencia",sala_familia_ninez_adolescencia,sala,detalle,f029,2,True,,2023,False
34,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Constitucionales,,False,11,col_01,2,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f034,Sala Constitucional,sala_constitucional,sala,detalle,f029,2,True,,2023,False
35,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,JUZGADOS DISCIPLINARIOS,,False,11,col_01,2,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f035,Juzgados Disciplinarios,juzgados_disciplinarios,juzgado,detalle,f037,1,True,,2023,False
36,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,CONCILIADORES,,False,11,col_01,5,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f036,Conciliadores,conciliadores,conciliador,detalle,f037,1,True,,2023,False
37,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,TOTAL GENERAL,,False,11,col_01,65,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f037,Total general,total_general,otro,total_general,,0,False,,2023,False
1,4.1.2,110,CHUQUISACA,Oropeza,Yotala,False,13,col_01,9081,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
2,4.1.2,110,CHUQUISACA,Oropeza,Poroma,False,13,col_01,15777,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
3,4.1.2,110,CHUQUISACA,Azurduy,Azurduy,False,13,col_01,11166,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
4,4.1.2,110,CHUQUISACA,Azurduy,Tarvita,False,13,col_01,13876,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
