cuadro_origen,pagina_pdf,distrito,ente,items_mujer,items_varon,items_acefalias,items_total,remun_mujer,remun_varon,remun_acefalias,remun_total,distrito_derivado_del_bloque,departamento_derivado,tipo_fila_derivado,gestion,revisado_manual
14.1.1,744,PANDO,Consejo de la Magistratura,6,7,0,13,35620,56086,0,91706,True,Pando,dato,2023,False
14.1.1,744,PANDO,Derechos Reales,7,0,0,7,34520,0,0,34520,True,Pando,dato,2023,False
14.1.1,744,PANDO,Juzgados Disciplinarios,3,0,0,3,22334,0,0,22334,True,Pando,dato,2023,False
14.1.1,744,PANDO,DAF Enlace,7,8,0,15,38780,58925,0,97705,True,Pando,dato,2023,False
14.1.1,744,PANDO,SUB TOTAL,91,69,22,182,519974,563777,165505,1249256,True,Pando,subtotal,2023,False
14.1.1,744,,TOTAL GENERAL,4031,2975,321,7327,24071930,23459730,1610840,49142500,True,,total,2023,False
14.1.2,745,,Tribunal Supremo de Justicia,62,103,2,167,528887,1142866,18013,1689766,,,dato,2023,False
14.1.2,745,,Tribunal Agroambiental,36,43,0,79,366513,503544,0,870057,,,dato,2023,False
14.1.2,745,,Tribunales Departamentales de Justicia,3049,2159,304,5512,18211475,17419671,1483731,37114877,,,dato,2023,False
14.1.2,745,,Consejo de la Magistratura,190,170,4,364,1470872,1437595,34037,2942504,,,dato,2023,False
14.1.2,745,,Derechos Reales,388,243,8,639,1699704,1177490,51124,2928318,,,dato,2023,False
14.1.2,745,,Juzgados Disciplinarios,47,16,0,63,303420,165594,0,469014,,,dato,2023,False
14.1.2,745,,Dirección General Administrativa Financiera,259,241,3,503,1491059,1612970,23935,3127964,,,dato,2023,False
14.1.2,745,,TOTAL NIVEL NACIONAL,4031,2975,321,7327,24071930,23459730,1610840,49142500,,,total,2023,False
14.1.2,745,,RELACIÓN PORCENTUAL,55,41,4,100,49,48,3,100,,,dato,2023,False
14.1.3,746,OFICINA NACIONAL,,265,291,5,561,2174250,3004284,45678,5224212,,,dato,2023,False
14.1.3,746,CHUQUISACA,,316,216,33,565,1780232,1744314,142321,3666867,,Chuquisaca,dato,2023,False
14.1.3,746,LA PAZ,,797,683,80,1560,4633110,4972458,335353,9940921,,La Paz,dato,2023,False
14.1.3,746,COCHABAMBA,,624,453,35,1112,3830374,3238408,200566,7269348,,Cochabamba,dato,2023,False
14.1.3,746,ORURO,,239,195,36,470,1416404,1489507,180383,3086294,,Oruro,dato,2023,False
14.1.3,746,POTOSI,,340,212,42,594,1867677,1784310,222712,3874699,,Potosí,dato,2023,False
14.1.3,746,TARIJA,,338,169,15,522,1959583,1366970,81239,3407792,,Tarija,dato,2023,False
14.1.3,746,SANTA CRUZ,,798,507,43,1348,4651919,3834431,168097,8654447,,Santa Cruz,dato,2023,False
14.1.3,746,BENI,,223,180,10,413,1238407,1461271,68986,2768664,,Beni,dato,2023,False
14.1.3,746,PANDO,,91,69,22,182,519974,563777,165505,1249256,,Pando,dato,2023,False
14.1.3,746,TOTALGENERAL,,4031,2975,321,7327,24071930,23459730,1610840,49142500,,,total,2023,False
14.1.3,746,RELACIÓN PORCENTUAL,,55,41,4,100,49,48,3,100,,,dato,2023,False
