firma,cuadros,paginas,n_paginas,pagina_referencia,n_columnas,columna,encabezado_pdf,titulo_pagina
d410470e91,5.1.1,154-164,11,154,9,1,RECURSOS DE / APELACIÓN EN / EFECTO / DEVOLUTIVO / NUEVOS / INTERPUESTOS AL / JUZGADO,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,2,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / INADMISIBLE",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,3,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / CONFIRMATORIO",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,4,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / REVOCADAS TOTALMENTE",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,5,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / REVOCADAS PARCIALMENTE",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,6,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / ANULATORIO",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,7,"RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS AL JUZGADO, SEGÚN LA FORMA DE RESOLUCIÓN / REPOSITORIO",Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,8,TOTAL DEVUELTAS,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
d410470e91,5.1.1,154-164,11,154,9,9,PENDIENTES,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
2e504f9e99,5.1.1.5,165-175,11,165,5,1,MOVIMIENTO REGISTRADO / CAUSAS EN / EJECUCION DE / SENTENCIA / READECUADAS A LA / LEY N° 439,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
2e504f9e99,5.1.1.5,165-175,11,165,5,2,MOVIMIENTO REGISTRADO / CAUSAS INGRESADAS / A EJECUCION DE / SENTENCIA 2016,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
2e504f9e99,5.1.1.5,165-175,11,165,5,3,MOVIMIENTO REGISTRADO / TOTAL CAUSAS EN / EJECUCION DE / SENTENCIA,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
2e504f9e99,5.1.1.5,165-175,11,165,5,4,CUASAS EN / EJECUCIÓN DE / SENTENCIA / CONCLUIDAS,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
2e504f9e99,5.1.1.5,165-175,11,165,5,5,PENDIENTES PARA LA / PROXIMA GESTIÓN,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,1,PENDIENTES DE LA / GESTIÓN ANTERIOR,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,2,FORMA DE INGRESO / RECIBIDAS POR / EXCUSA O / RECUSACIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,3,NUEVAS INGRESADAS / EN LA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,4,TOTAL DE CAUSAS / ATENDIDAS EN LA / GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,5,CAUSAS RESUELTAS PENDIENTES PARA LA / EN LA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
e0dc4154d7,"5.1.2.1,5.2.1.1,6.1.2.1",177-458,27,177,6,6,CAUSAS RESUELTAS PENDIENTES PARA LA / PRÓXIMA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,1,FORMAS / DE / RESOLUCI / ÓN DE / CAUSAS / POR / SENTENCI / A,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,2,CONCILIACIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,3,DESISTIMIENTO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,4,DE LA / RETIRO DEMANDA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,5,EXTINCIÓN POR INACTIVIDAD,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,6,RECHAZADAS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,7,POR PRESENTADAS / NO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,8,FORMAS DE FINALIZACIÓN DE / EXCUSA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,9,FORMAS DE FINALIZACIÓN DE / COMPETENCIA / RECUSA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,10,FORMAS DE FINALIZACIÓN DE / COMPETENCIA / DECLINATORIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,11,FORMAS DE FINALIZACIÓN DE / OTROS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
84445ab21b,5.1.2.2,188-198,11,188,12,12,TOTAL CAUSAS / RESUELTAS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,1,RECURSOS DE / APELACIÓN EN / EFECTO / SUSPENSIVO / GENERADOS EN / JUZGADO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,2,RECURSOS DE / APELACIÓN EN / EFECTO / SUSPENSIVO / REMITIDOS A / SALA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,3,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / CONFIRMA DAS TOTALMEN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,4,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / CONFIRMA DAS PARCIALM ENTE,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,5,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / TOTALMEN / S,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,6,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / PARCIALM ENTE / S,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,7,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / ANULATORI / O,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,8,RECURSOS DE APELACIÓN EN EFECTO SUSPENSIVO DEVUELTOS DE SALAS A / REPOSITOR / IO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,9,TOTAL DE / CAUSAS / APELADAS / DEVUELTAS EN / LA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
1057c39b54,5.1.2.3,199-209,11,199,10,10,PENDIENTES,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,1,RECURSOS DE / APELACIÓN EN / EFECTO / DEVOLUTIVO / NUEVOS / GENERADOS EN / JUZGADO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,2,RECURSOS DE / APELACIÓN EN / EFECTO / DEVOLUTIVO / REMITIDOS A / SALAS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
