materia_homologada,total_procesos,ingresos_total,atendidas_total,resueltas_total,pendientes_total,cr_mediana,congestion_mediana,duracion_dias_mediana,clearance_rate_ponderado,tasa_congestion_ponderada,duracion_dias_ponderada
Partido Administrativo Coactivo Fiscal y Tributario,30,2012.0,13249,2671,10368,1.0,2.8696461824953445,582.4791666666667,1.327534791252485,4.960314488955447,1416.8176712841632
Partido de Trabajo y Seguridad Social,152,24073.0,51342,23441,27901,1.0,2.0,365.0,0.9737465209986291,2.190264920438548,434.44669596007
Público Civil y Comercial,384,136874.0,136874,94769,42105,0.5738151516365531,1.6473389355742296,236.27871148459383,0.6923813142013823,1.4442908546043538,162.1661619305891
Público Niñez y Adolescencia,325,9546.0,13524,9106,4418,0.9868421052631579,1.3092105263157894,112.86184210526315,0.9539073957678609,1.4851746101471557,177.08873270371186
Público de Familia,349,78366.0,120483,79210,41273,1.0,1.5,182.5,1.0107699767756424,1.5210579472288852,190.1861507385431
