cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso_extraido,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,readecuadas_ley_439,recibidas_excusa_recusacion,preliminares_formalizados,cautelares_formalizados,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,pendientes_inicio,conciliacion,num_juzgados,recibidas_otros_juzgados,concluidas_rechazo_denuncia,reparacion_dano_conciliacion,remision_art_299_ley_548,merecieron_imputacion_formal,remitidas_finalizacion_competencia,procesos_rebeldia,reparacion_dano,sobreseimiento,terminacion_anticipada,merecieron_acusacion,concluidas_extincion_prescripcion,concluidas_sentencia_juicio,remitidas_otros_juzgados,concluidas_otras_formas,imputacion_directa_procedimiento_inmediato,otras_formas_finalizacion,recibidas_declinatoria_inhibitoria,ingresadas_conversion_acciones,otras_formas_conclusion,resueltas_sentencia,ingresadas_reenvio,otras_formas_ingreso,remitidas_excusa_recusacion,remitidas_otras_formas,materia_seccion,tipo_accion_penal,materia_norm,materia_homologada,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,etapa_proceso_fuente,contexto_accion_penal,gestion,revisado_manual,territorio,tipo_elemento_analitico,recurso_juzgados_publicados,recurso_tribunales_publicados,recurso_salas_publicadas,recurso_conciliadores_publicados,recurso_otros_organos_publicados,recursos_clasificacion_completa,personal_cuadro_origen,personal_pagina_pdf,personal_distrito,personal_gestion,personal_items_mujer,personal_items_varon,personal_items_acefalias,personal_items_total,personal_remun_mujer,personal_remun_varon,personal_remun_acefalias,personal_remun_total,personal_nivel_geografico,personal_metodo_seleccion,estado_gestion,ingresos_totales,tasa_resolucion,tasa_resolucion_total,tasa_congestion,tasa_pendencia,duracion_estimada_dias,acumulacion_neta_anual,flag_acumula_mora,flag_sin_resolucion_anual,flag_sin_movimiento,atendidas_por_item_personal,atendidas_por_juzgado_territorio,es_outlier_carga_iqr,es_outlier_severo_carga_iqr,es_outlier_ingresos_iqr,es_outlier_severo_ingresos_iqr,es_outlier_congestion_iqr,es_outlier_severo_congestion_iqr,es_outlier_duracion_iqr,es_outlier_severo_duracion_iqr,tasa_congestion_winsorizada,duracion_estimada_winsorizada,log_atendidas,log_nuevas_ingresadas,log_resueltas,log_pendientes_fin,log_ingresos_totales
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,EJECUTIVO,EJECUTIVO,detalle,5,8,94,1,224,12,1305,1636,1550,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,1542.0,1.1877394636015326,1.0051880674448768,1.0554838709677419,0.05256723716381418,20.251612903225805,-245.0,False,False,False,3.480851063829787,34.808510638297875,True,True,True,True,False,False,False,False,1.0554838709677419,20.251612903225805,7.400620577371135,7.174724309836376,7.346655163176539,4.465908118654584,7.341483852363161
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,detalle,6,8,0,0,0,0,8,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,8.0,0.625,0.625,1.6,0.375,219.0,3.0,True,False,False,0.01702127659574468,0.1702127659574468,False,False,False,False,False,False,False,False,1.6,219.0,2.1972245773362196,2.1972245773362196,1.791759469228055,1.3862943611198906,2.1972245773362196
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,ENTREGA DE LA HERENCIA,ENTREGA DE LA HERENCIA,detalle,7,8,0,0,0,0,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,3.0,0.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,730.0,2.0,True,False,False,0.006382978723404255,0.06382978723404255,False,False,False,False,False,False,False,False,3.0,730.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.3862943611198906
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,detalle,8,8,8,0,0,0,29,37,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,29.0,0.6206896551724138,0.6206896551724138,2.0555555555555554,0.5135135135135135,385.27777777777777,11.0,True,False,False,0.07872340425531915,0.7872340425531915,False,False,False,False,False,False,False,False,2.0555555555555554,385.27777777777777,3.6375861597263857,3.4011973816621555,2.9444389791664403,2.995732273553991,3.4011973816621555
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,CESE DE LA COPROPIEDAD,CESE DE LA COPROPIEDAD,detalle,9,8,1,0,0,0,4,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,4.0,0.25,0.25,5.0,0.8,1460.0,3.0,True,False,False,0.010638297872340425,0.10638297872340426,False,False,False,False,True,False,True,False,5.0,1460.0,1.791759469228055,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.6094379124341003
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,detalle,10,8,1,0,0,0,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,2.0,0.5,0.5,3.0,0.6666666666666666,730.0,1.0,True,False,False,0.006382978723404255,0.06382978723404255,False,False,False,False,False,False,False,False,3.0,730.0,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,OTROS MONITORIOS,OTROS MONITORIOS,detalle,11,8,1,0,0,0,9,10,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,9.0,0.8888888888888888,0.8888888888888888,1.25,0.2,91.25,1.0,True,False,False,0.02127659574468085,0.2127659574468085,False,False,False,False,False,False,False,False,1.25,91.25,2.3978952727983707,2.302585092994046,2.1972245773362196,1.0986122886681098,2.302585092994046
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,MONITOREO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,detalle,12,8,20,0,2,0,168,190,180,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,MONITOREO,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,170.0,1.0714285714285714,1.0588235294117647,1.0555555555555556,0.05263157894736842,20.277777777777775,-12.0,False,False,False,0.40425531914893614,4.042553191489362,False,False,False,False,False,False,False,False,1.0555555555555556,20.277777777777775,5.25227342804663,5.1298987149230735,5.198497031265826,2.3978952727983707,5.14166355650266
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,PROCESO CONCURS ALES,CONCURSALES,CONCURSALES,detalle,13,8,3,0,0,0,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,PROCESO CONCURSALES,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,1.0,3.0,3.0,1.3333333333333333,0.25,121.66666666666666,-2.0,False,False,False,0.00851063829787234,0.0851063829787234,False,False,False,False,False,False,False,False,1.3333333333333333,121.66666666666666,1.6094379124341003,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453
5.1.1.1,125,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,14,tipo_proceso,PROCESOS VOLUNTARIOS,"APERTURA, COMPROBACIÓN Y PUBLICACIÓN DE TESTAMENTO","APERTURA, COMPROBACIÓN Y PUBLICACIÓN DE TESTAMENTO",detalle,14,8,0,0,0,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,ORURO,,Oruro,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,ORURO,proceso,47,3,8,6,,True,14.1.3,746,ORURO,2023,239,195,36,470,1416404,1489507,180383,3086294,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,3.0,0.6666666666666666,0.6666666666666666,1.5,0.3333333333333333,182.5,1.0,True,False,False,0.006382978723404255,0.06382978723404255,False,False,False,False,False,False,False,False,1.5,182.5,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906
