departamento_derivado,total_procesos,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,personal_items,juzgados_publicados,cr_mediana,congestion_mediana,duracion_dias_mediana,cr_ponderado,congestion_ponderada,duracion_dias_ponderada,causas_por_funcionario
La Paz,263,52948,98531,55457,43074,1560,21136,1.0,2.0,365.0,1.0473861146785526,1.7767098833330328,283.49910741655697,63.16089743589744
Santa Cruz,174,48578,91497,50674,40823,1348,17686,0.916839199447895,2.327823691460055,484.6556473829201,1.0431471036271562,1.8056005051900383,294.044184394364,67.87611275964392
Cochabamba,174,38298,53222,39433,13789,1112,15672,1.0,1.4962686567164178,181.13805970149252,1.0296360123244033,1.349681738645297,127.63383460553345,47.861510791366904
Potosí,174,14357,24607,15816,8791,594,9081,1.0,1.5319727891156463,194.1700680272109,1.101622901720415,1.5558295397066262,202.87778199291856,41.425925925925924
Tarija,174,12575,19196,13238,5958,522,6972,1.0,1.4166666666666667,152.08333333333334,1.0527236580516899,1.4500679861006194,164.2748149267261,36.77394636015325
Oruro,174,13827,17425,13674,3541,470,6223,1.0,1.3157894736842106,109.5,0.9889346929919722,1.274316220564575,94.51989176539418,37.07446808510638
Chuquisaca,174,11511,15117,11369,3748,565,8105,1.0,1.2218897174254317,80.98974686028258,0.9876639735904786,1.329668396516844,120.32896472864807,26.755752212389382
Beni,174,7189,12081,7111,4970,413,5568,1.0,1.7077342047930282,258.3229847494554,0.9891500904159132,1.6989171705807904,255.10476726198846,29.25181598062954
Pando,174,2172,3796,2425,1371,182,2294,1.0,1.4761904761904763,173.8095238095238,1.1164825046040516,1.5653608247422681,206.35670103092784,20.857142857142858
