ambito,total_procesos,ingresos_totales,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,cr_mediana,congestion_mediana,duracion_dias_mediana,cr_ponderado,congestion_ponderada,duracion_dias_ponderada
capital,890,176734.0,141967,238306,150408,87688,0.8550420168067226,1.528735632183908,183.59281437125748,0.8510416784546267,1.5843971065368863,212.79533003563643
provincia,765,74137.0,59488,97166,58789,38377,0.8277155060986634,1.5659037095501185,206.55485398579322,0.7929778653034247,1.6527921890149517,238.26914899045738
